table_label,row,column,tex_value,saved_value,passed
tab:stokes-three-dimensional,2,7,$2.9\cdot10^{-3}$,0.00292782429366151,True
tab:stokes-three-dimensional,3,2,13122,13122.0,True
tab:stokes-three-dimensional,3,3,95256,95256.0,True
tab:stokes-three-dimensional,3,4,3,3.0,True
tab:stokes-three-dimensional,3,5,5.9806,5.98062612259845,True
tab:stokes-three-dimensional,3,6,0.0171,0.0171467764060357,True
tab:stokes-three-dimensional,3,7,$1.9\cdot10^{-3}$,0.00188024276560057,True
tab:stokes-three-dimensional,4,2,31104,31104.0,True
tab:stokes-three-dimensional,4,3,223776,223776.0,True
tab:stokes-three-dimensional,4,4,3,3.0,True
tab:stokes-three-dimensional,4,5,5.9304,5.93044094847686,True
tab:stokes-three-dimensional,4,6,0.0186,0.0185828189300412,True
tab:stokes-three-dimensional,4,7,$1.4\cdot10^{-3}$,0.00138347577357707,True
tab:constitutive-law-comparison,1,1,0.0625,0.0625,True
tab:constitutive-law-comparison,1,2,3.3738,3.37375440095212,True
tab:constitutive-law-comparison,1,3,3.3566,3.3566358894206,True
tab:constitutive-law-comparison,1,4,0.51\%,0.507402421666623,True
tab:constitutive-law-comparison,1,5,1.935,1.935,True
tab:constitutive-law-comparison,1,6,2.106,2.106,True
tab:constitutive-law-comparison,1,7,1.09,1.08837209302326,True
tab:constitutive-law-comparison,2,1,0.25,0.25,True
tab:constitutive-law-comparison,2,2,5.4539,5.45389979128921,True
tab:constitutive-law-comparison,2,3,5.4336,5.43360852612081,True
tab:constitutive-law-comparison,2,4,0.37\%,0.372050568307317,True
tab:constitutive-law-comparison,2,5,2.706,2.706,True
tab:constitutive-law-comparison,2,6,2.847,2.847,True
tab:constitutive-law-comparison,2,7,1.05,1.05210643015521,True
tab:constitutive-law-comparison,3,1,0.5,0.5,True
tab:constitutive-law-comparison,3,2,3.7559,3.75594542139772,True
tab:constitutive-law-comparison,3,3,3.7348,3.73476869105816,True
tab:constitutive-law-comparison,3,4,0.56\%,0.563818904793571,True
tab:constitutive-law-comparison,3,5,1.632,1.632,True
tab:constitutive-law-comparison,3,6,2.073,2.073,True
tab:constitutive-law-comparison,3,7,1.27,1.27022058823529,True
tab:constitutive-law-comparison,4,1,1.0,1.0,True
tab:constitutive-law-comparison,4,2,2.1466,2.14659000007924,True
tab:constitutive-law-comparison,4,3,2.1253,2.12532539164472,True
tab:constitutive-law-comparison,4,4,0.99\%,0.990622728780663,True
tab:constitutive-law-comparison,4,5,0.498,0.498,True
tab:constitutive-law-comparison,4,6,1.113,1.113,True
tab:constitutive-law-comparison,4,7,2.23,2.23493975903614,True
tab:discretization-comparison,1,3,8464,8464.0,True
tab:discretization-comparison,1,4,8,8.0,True
tab:discretization-comparison,1,5,2.1537,2.15365085661694,True
tab:discretization-comparison,1,6,0.75,0.75,True
tab:discretization-comparison,1,7,$0$,-0.0,True
tab:discretization-comparison,1,8,$6.0\cdot10^{-15}$,6.04546066810541e-15,True
tab:discretization-comparison,2,3,8464,8464.0,True
tab:discretization-comparison,2,4,9,9.0,True
tab:discretization-comparison,2,5,1.9870,1.98695237809713,True
tab:discretization-comparison,2,6,5.94,5.937,True
tab:discretization-comparison,2,7,$0$,-0.0,True
tab:discretization-comparison,2,8,$3.4\cdot10^{-15}$,3.37201930881188e-15,True
tab:discretization-comparison,3,3,9899,9899.0,True
tab:discretization-comparison,3,4,12,12.0,True
tab:discretization-comparison,3,5,2.1556,2.15557920545963,True
tab:discretization-comparison,3,6,0.45,0.447,True
tab:discretization-comparison,3,7,$-5.3\cdot10^{-4}$,-0.000525638703745643,True
tab:discretization-comparison,3,8,---,nan,True
tab:discretization-comparison,4,3,33312,33312.0,True
tab:discretization-comparison,4,4,9,9.0,True
tab:discretization-comparison,4,5,2.1473,2.14730040729985,True
tab:discretization-comparison,4,6,0.84,0.843,True
tab:discretization-comparison,4,7,$0$,-0.0,True
tab:discretization-comparison,4,8,$1.0\cdot10^{-14}$,1.0198221356353e-14,True
tab:discretization-comparison,5,3,33312,33312.0,True
tab:discretization-comparison,5,4,9,9.0,True
